x,y,role,token
-1043.1246337890625,-1482.0435791015625,declaration,function
-1126.968505859375,-1387.582763671875,delimiter,(
-1117.24267578125,-1444.3466796875,identifier,element
-1071.6929931640625,-1403.9195556640625,delimiter,)
-984.301513671875,-1593.06396484375,delimiter,{
-1360.46142578125,-2232.44189453125,declaration,var
-1597.632080078125,-2228.44140625,identifier,cache
-1606.744140625,-2182.444091796875,assignment_operator,=
-1722.8316650390625,-2254.78466796875,other,this
-1722.8316650390625,-2254.78466796875,delimiter,.
-1732.482421875,-2195.61474609375,identifier,cache
-1382.1915283203125,-2124.64501953125,delimiter,","
-1255.400146484375,-2209.921630859375,identifier,instance
-1341.2852783203125,-2175.3115234375,delimiter,","
-1255.400146484375,-2209.921630859375,identifier,dom
-1405.24560546875,-2184.337890625,delimiter,","
-1255.400146484375,-2209.921630859375,identifier,id
-1316.531005859375,-2120.58203125,delimiter,;
-3112.77294921875,155.1019287109375,control_flow,if
-3011.376220703125,64.81877899169922,delimiter,(
-2924.84619140625,58.90456771850586,logical_comparison,!
-2945.11279296875,9.019522666931152,identifier,element
-3011.376220703125,64.81877899169922,delimiter,)
-3248.781005859375,230.69558715820312,delimiter,{
-3360.009765625,314.0721740722656,return_exception,return
-3300.3798828125,309.9111328125,literal,null
-3339.494384765625,257.9225158691406,delimiter,;
-3248.781005859375,230.69558715820312,delimiter,}
641.7828369140625,-291.8539123535156,control_flow,if
644.7826538085938,-442.51806640625,delimiter,(
679.76611328125,-598.1217041015625,other,typeof
633.824462890625,-572.243896484375,identifier,element
689.3886108398438,-519.5032348632812,logical_comparison,==
751.4310913085938,-530.7390747070312,other,'string'
691.9046020507812,-430.28399658203125,delimiter,)
657.2630615234375,67.95567321777344,delimiter,{
513.3978881835938,213.9881134033203,identifier,dom
513.3978881835938,213.9881134033203,assignment_operator,=
310.61871337890625,313.9276123046875,identifier,document
355.2909851074219,274.6203918457031,delimiter,.
300.0904846191406,256.1248779296875,identifier,getElementById
455.28289794921875,423.6452331542969,delimiter,(
398.25543212890625,409.3917541503906,identifier,element
440.3319091796875,367.3790283203125,delimiter,)
581.49072265625,156.9041748046875,delimiter,;
1609.4232177734375,335.8310852050781,control_flow,if
1603.2037353515625,193.29025268554688,delimiter,(
1616.292236328125,32.58173370361328,identifier,cache
1661.0181884765625,-4.568567276000977,delimiter,.
1606.4459228515625,-25.840049743652344,identifier,hasOwnProperty
1475.284423828125,-0.8305138945579529,delimiter,(
1491.6002197265625,56.09577560424805,identifier,element
1435.2908935546875,42.11029815673828,delimiter,)
1557.4197998046875,202.79156494140625,delimiter,)
1702.779296875,471.0254821777344,delimiter,{
1827.0616455078125,622.3768920898438,identifier,instance
1827.0616455078125,622.3768920898438,assignment_operator,=
1865.0345458984375,721.6929931640625,identifier,cache
1914.613037109375,680.9248657226562,delimiter,[
1953.9749755859375,727.2900390625,identifier,element
1905.6063232421875,767.128662109375,delimiter,]
1760.8299560546875,542.6505126953125,delimiter,;
1702.779296875,471.0254821777344,delimiter,}
-640.9255981445312,319.9927978515625,control_flow,if
-677.498291015625,520.2433471679688,delimiter,(
-641.2377319335938,474.0755920410156,identifier,dom
-699.7318725585938,465.8031311035156,delimiter,)
-984.019287109375,554.1333618164062,delimiter,{
-1341.5810546875,749.4305419921875,control_flow,if
-1205.0162353515625,747.4556274414062,delimiter,(
-1216.41796875,688.886474609375,identifier,instance
-1160.7169189453125,708.5347290039062,delimiter,)
-1385.4066162109375,523.3184814453125,delimiter,{
-1553.8231201171875,314.7943115234375,identifier,instance
-1603.1746826171875,358.78057861328125,delimiter,.
-1612.4305419921875,298.7701110839844,identifier,dom
-1541.977294921875,416.5245666503906,assignment_operator,=
-1502.535888671875,381.7046813964844,identifier,dom
-1462.44775390625,468.4170227050781,delimiter,;
-1422.222900390625,554.5314331054688,delimiter,}
-1428.1422119140625,895.9140014648438,control_flow,else
-1495.0814208984375,943.0917358398438,delimiter,{
-1576.1112060546875,1111.7855224609375,identifier,instance
-1612.1697998046875,1079.5499267578125,assignment_operator,=
-1876.7330322265625,1233.6448974609375,identifier,cache
-1865.08984375,1173.4439697265625,delimiter,[
-1925.4210205078125,1163.302734375,identifier,element
-1937.0142822265625,1223.5506591796875,delimiter,]
-1711.05078125,1244.0316162109375,assignment_operator,=
-1735.5550537109375,1439.87841796875,declaration,new
-1735.5550537109375,1439.87841796875,other,this
-1743.02685546875,1581.56591796875,delimiter,(
-1708.2071533203125,1532.93115234375,identifier,dom
-1772.5606689453125,1529.613525390625,delimiter,)
-1532.2283935546875,1027.243896484375,delimiter,;
-1455.4820556640625,974.1536254882812,delimiter,}
-964.228759765625,596.9747314453125,delimiter,}
-599.0264282226562,212.7881622314453,control_flow,else
-572.014404296875,129.41876220703125,control_flow,if
-642.0184326171875,55.63627243041992,delimiter,(
-680.405517578125,-21.276588439941406,logical_comparison,!
-719.225830078125,18.463050842285156,identifier,instance
-642.0184326171875,55.63627243041992,delimiter,)
-466.63714599609375,90.31468963623047,delimiter,{
-328.0087585449219,2.9582712650299072,identifier,instance
-269.5528259277344,15.404508590698242,assignment_operator,=
-303.9200134277344,64.29899597167969,literal,null
-380.5325622558594,59.46390151977539,delimiter,;
-466.63714599609375,90.31468963623047,delimiter,}
789.2717895507812,63.899681091308594,return_exception,return
760.2355346679688,10.575201988220215,identifier,instance
819.2158203125,12.974115371704102,delimiter,;
681.6246337890625,108.1267318725586,delimiter,}
-343.1470031738281,-1200.6387939453125,control_flow,if
-342.707275390625,-1341.5809326171875,delimiter,(
-357.90301513671875,-1492.58642578125,other,'tagName'
-389.4596862792969,-1429.8973388671875,logical_comparison,in
-334.76885986328125,-1426.6109619140625,identifier,element
-392.638916015625,-1343.947021484375,delimiter,)
-129.3952178955078,-948.5130004882812,delimiter,{
84.45474243164062,-957.7681274414062,identifier,id
69.64663696289062,-1007.3404541015625,assignment_operator,=
168.75607299804688,-976.1854858398438,identifier,element
208.00006103515625,-1022.0540161132812,delimiter,.
149.9664764404297,-1038.5723876953125,identifier,id
-12.638680458068848,-957.0873413085938,delimiter,;
252.55807495117188,1518.191162109375,control_flow,if
95.50019836425781,1468.36669921875,delimiter,(
-135.828125,1491.9580078125,identifier,cache
-82.8493881225586,1517.520263671875,delimiter,.
-135.828125,1491.9580078125,identifier,hasOwnProperty
-42.06972885131836,1380.55029296875,delimiter,(
-46.42683410644531,1322.654296875,identifier,id
-95.3270034790039,1354.8184814453125,delimiter,)
82.10680389404297,1512.866943359375,delimiter,)
-218.25962829589844,2268.794189453125,delimiter,{
-495.4318542480469,2271.40869140625,identifier,instance
-495.4318542480469,2271.40869140625,assignment_operator,=
-596.1017456054688,2311.51171875,identifier,cache
-661.2265014648438,2251.936767578125,delimiter,[
-656.9801635742188,2314.35546875,identifier,id
-600.4876708984375,2247.775390625,delimiter,]
-386.4112243652344,2264.139404296875,delimiter,;
-34.77870178222656,2509.38037109375,identifier,instance
-89.32367706298828,2544.844970703125,delimiter,.
-34.273128509521484,2569.80224609375,identifier,dom
-87.3720474243164,2440.3251953125,assignment_operator,=
-130.78016662597656,2468.3662109375,identifier,element
-161.00491333007812,2373.732666015625,delimiter,;
-164.95399475097656,2107.382568359375,return_exception,return
-214.7858428955078,2139.653076171875,identifier,instance
-160.40963745117188,2166.565185546875,delimiter,;
-260.9044189453125,2248.781005859375,delimiter,}
468.9283447265625,1510.4732666015625,control_flow,else
553.7035522460938,1534.7760009765625,delimiter,{
677.3250122070312,1693.55859375,identifier,instance
632.9400024414062,1717.5478515625,assignment_operator,=
730.6671752929688,1786.6141357421875,declaration,new
685.6716918945312,1812.03857421875,other,this
778.5405883789062,1921.447998046875,delimiter,(
724.7866821289062,1893.2816162109375,identifier,element
781.359619140625,1860.8414306640625,delimiter,)
608.3521728515625,1616.642578125,delimiter,;
751.5950317382812,1241.9566650390625,identifier,cache
750.2534790039062,1183.7987060546875,delimiter,[
803.4758911132812,1038.073486328125,identifier,instance
849.8633422851562,1001.249755859375,delimiter,.
795.0319213867188,980.5114135742188,identifier,getId
923.3519897460938,1104.607177734375,delimiter,(
888.0659790039062,1137.370361328125,delimiter,)
699.5383911132812,1211.1170654296875,delimiter,]
646.0607299804688,1299.665283203125,assignment_operator,=
689.3201904296875,1327.2652587890625,identifier,instance
613.908203125,1404.5572509765625,delimiter,;
555.2249755859375,1485.812255859375,delimiter,}
-257.44171142578125,-842.595458984375,return_exception,return
-228.97132873535156,-894.5269775390625,identifier,instance
-198.28582763671875,-841.7593994140625,delimiter,;
-108.70506286621094,-905.9291381835938,delimiter,}
