x,y,role,token
4.387299537658691,2.1437599658966064,declaration,func
3.7959792613983154,-4.212645053863525,identifier,Open
-1.2314445972442627,8.404200553894043,delimiter,(
-1.3108631372451782,-6.122047424316406,identifier,url
2.8231701850891113,-12.974273681640625,identifier,string
1.2933144569396973,-1.4208660125732422,delimiter,","
0.9284144639968872,27.132888793945312,identifier,c
6.794618606567383,-15.562479972839355,other,*
10.183996200561523,15.913450241088867,identifier,Config
-8.633996963500977,3.2862906455993652,delimiter,)
-1.856680154800415,9.112788200378418,delimiter,(
-17.017202377319336,4.388153076171875,identifier,io
-20.037960052490234,-16.514972686767578,delimiter,.
14.060681343078613,-0.3797212839126587,identifier,ReadCloser
1.5115619897842407,-1.9429881572723389,delimiter,","
5.438731670379639,-13.592314720153809,identifier,error
-7.6981377601623535,3.2630531787872314,delimiter,)
-19.998733520507812,-7.79794454574585,delimiter,{
8.384077072143555,8.773024559020996,control_flow,if
1.0678893327713013,26.01520347595215,identifier,c
15.858081817626953,8.070258140563965,logical_comparison,==
25.85931968688965,3.93609881401062,literal,nil
-18.646465301513672,-7.291208744049072,delimiter,{
1.1735467910766602,25.222333908081055,identifier,c
6.1074981689453125,3.2896721363067627,assignment_operator,=
10.240117073059082,16.24479866027832,identifier,DefaultConfig
-7.141928195953369,8.366842269897461,delimiter,}
-4.837985515594482,21.069311141967773,identifier,r
7.9095139503479,-5.949663162231445,delimiter,","
7.451322078704834,-7.303317070007324,identifier,_
2.5165510177612305,13.114550590515137,assignment_operator,:=
-18.593149185180664,6.101044178009033,identifier,http
-17.878599166870117,-16.151716232299805,delimiter,.
-5.55863094329834,-6.095092296600342,identifier,NewRequest
-1.349695086479187,5.754286766052246,delimiter,(
-0.2689237594604492,-12.757573127746582,other,""""
1.1607732772827148,-12.26451301574707,other,""""
4.289788246154785,-0.9835368990898132,delimiter,","
-1.3869578838348389,-6.118370056152344,identifier,url
3.6421945095062256,-1.9872912168502808,delimiter,","
26.83989143371582,2.667541980743408,literal,nil
-5.755680561065674,4.034966468811035,delimiter,)
-4.044184684753418,21.712242126464844,identifier,r
-15.655430793762207,-17.9223690032959,delimiter,.
-7.6036834716796875,-10.427789688110352,identifier,Header
-15.81421184539795,-15.433618545532227,delimiter,.
-8.960695266723633,-11.072839736938477,identifier,Set
-0.9946691393852234,5.214957237243652,delimiter,(
-0.4665239751338959,-12.220696449279785,other,""""
1.030880331993103,-11.710253715515137,other,""""
4.065396785736084,-0.5439049601554871,delimiter,","
-2.5023138523101807,-18.739850997924805,identifier,time
-17.167810440063477,-14.607604026794434,delimiter,.
-4.5209832191467285,-18.307653427124023,identifier,Now
-0.5841965079307556,2.966334581375122,delimiter,(
-3.8789589405059814,-1.2907730340957642,delimiter,)
-13.735404014587402,-15.457175254821777,delimiter,.
-5.814133167266846,-19.538114547729492,identifier,UTC
-0.16629350185394287,2.787545680999756,delimiter,(
-3.7408924102783203,-0.9880837798118591,delimiter,)
-13.84868049621582,-15.958130836486816,delimiter,.
-3.9164187908172607,-20.22480010986328,identifier,Format
0.5829512476921082,3.955278158187866,delimiter,(
-17.891529083251953,6.694074630737305,identifier,http
-19.979389190673828,-18.52118492126465,delimiter,.
-3.9118669033050537,-19.58933448791504,identifier,TimeFormat
-4.309105396270752,2.0585575103759766,delimiter,)
-4.908381462097168,3.777514934539795,delimiter,)
